state_name,state_code,emp
Alabama,AL,1594940
Alaska,AK,265837
Arkansas,AR,2197999
California,CA,986738
Colorado,CO,13507087
Delaware,DE,2144675
District of Columbia,DC,1488006
Florida,FL,392154
Georgia,GA,503649
Hawaii,HI,7041161
Idaho,ID,3466866
Indiana,IN,510182
Iowa,IA,529621
Kansas,KS,5258541
Kentucky,KY,2591650
Louisiana,LA,1303619
Maine,ME,1158830
Maryland,MD,1520607
Massachusetts,MA,1682303
Michigan,MI,483708
Minnesota,MN,2213085
Mississippi,MS,3083257
Missouri,MO,3588109
Montana,MT,2579874
Nebraska,NE,899426
Nevada,NV,2404154
New Hampshire,NH,358302
New Jersey,NJ,785907
New Mexico,NM,1076416
New York,NY,550930
North Carolina,NC,3452318
North Dakota,ND,593968
Ohio,OH,7819083
Oklahoma,OK,3395290
Oregon,OR,348597
Pennsylvania,PA,4653354
Rhode Island,RI,1339559
South Carolina,SC,1458804
South Dakota,SD,5211465
Texas,TX,420819
Utah,UT,1595076
Vermont,VT,339014
Virginia,VA,2429351
Washington,WA,9728017
West Virginia,WV,1117111
Wisconsin,WI,259772
Wyoming,WY,3117342
